faq_id,category,question,answer
faq_001,Parking,What is the deadline for purchasing a semester parking permit?,"According to university policy, students must submit their permit applications by the end of the second week of each semester. Late applications may incur a $25 late fee."
faq_002,Parking,How do I register my vehicle for parking privileges on campus?,"To register your vehicle, please log in to your MyCampus account and navigate to the Parking section. Follow the prompts to enter your vehicle's information and pay the registration fee."
faq_003,Parking,Can I park in faculty/staff parking lots if I have a valid parking permit?,"No, parking permits are specific to student parking lots. Faculty/staff parking lots are designated for university employees only and are subject to stricter parking regulations."
faq_004,Parking,What happens if I lose my parking permit?,"If you lose your parking permit, please report the incident to the Parking Services office immediately. You will be required to complete a lost permit form and provide a replacement permit at a cost of $10."
faq_005,Parking,Can I park in designated handicapped parking spaces if I have a disability permit?,"Yes, students with a valid disability permit may park in designated handicapped parking spaces. Please display your permit clearly on your vehicle's dashboard."
faq_006,Parking,How do I appeal a parking citation?,"To appeal a parking citation, please submit a written appeal to the Parking Services office within 10 business days of receiving the citation. Include your parking permit number, citation number, and a clear explanation of the circumstances surrounding the citation."
faq_007,Parking,Can I park my motorcycle in any parking lot on campus?,"No, motorcycles are restricted to designated motorcycle parking areas only. Please follow the signs and markings to ensure compliance."
faq_008,Parking,What is the process for replacing a stolen parking permit?,"To replace a stolen parking permit, please report the incident to the Parking Services office and provide a police report or proof of loss. You will be required to complete a replacement permit form and pay the replacement fee."
faq_009,Parking,Can I park overnight in student parking lots?,"No, overnight parking is prohibited in student parking lots. Vehicles parked overnight will be subject to towing and fines."
faq_010,Parking,How do I access a parking map of the campus?,"To access a parking map, please visit the Parking Services website or download the MyCampus app. The map will be available under the Parking section, along with other useful resources and information."
faq_011,Financial Aid,What is the deadline for submitting the Free Application for Federal Student Aid (FAFSA)?,"According to university policy, students must submit the FAFSA by March 1st of each year to be considered for need-based financial aid. However, we encourage students to submit their FAFSA as early as possible to ensure timely processing and consideration for federal, state, and institutional aid programs."
faq_012,Financial Aid,How do I check the status of my financial aid package?,"Students can view their financial aid status by logging into their online student portal and accessing the Financial Aid section. Here, they can review their award letter, check the status of their FAFSA, and view any additional documents required for aid eligibility."
faq_013,Financial Aid,Can I appeal a decision made by the Financial Aid Office?,"Yes, students can appeal a decision made by the Financial Aid Office if they feel that their financial aid package does not accurately reflect their financial situation. To appeal, students must submit a written request to the Financial Aid Office, including supporting documentation and a clear explanation of the reason for the appeal."
faq_014,Financial Aid,What types of scholarships are available to students?,"The university offers a variety of scholarships to students, including merit-based, need-based, and talent-based awards. Students can search for available scholarships through the university's online portal and apply using the provided application and supporting documentation."
faq_015,Financial Aid,Can I use financial aid to cover fees for summer courses?,"Yes, students can use their financial aid package to cover fees for summer courses, including tuition, fees, and books. Students should check with their Financial Aid Counselor to confirm the availability of aid for summer courses and to ensure that their package is sufficient to cover expenses."
faq_016,Financial Aid,How do I apply for an internship that offers financial aid?,"To apply for an internship that offers financial aid, students must first secure the internship and then submit a request to the Financial Aid Office to have their aid package adjusted to reflect the internship earnings. Students should provide documentation from the internship provider and their employer to support their request."
faq_017,Financial Aid,Can I use financial aid to cover living expenses while studying abroad?,"Yes, students can use their financial aid package to cover living expenses while studying abroad, including room and board, transportation, and personal expenses. Students should check with their Financial Aid Counselor to confirm the availability of aid for study abroad programs and to ensure that their package is sufficient to cover expenses."
faq_018,Financial Aid,What is the policy on financial aid for students who withdraw from courses?,"According to university policy, students who withdraw from courses within the first two weeks of the term will have their financial aid package adjusted accordingly. Students who withdraw after the first two weeks will be required to repay a portion of their financial aid package, as per university policy."
faq_019,Financial Aid,How do I report changes in my income or family situation that may affect my financial aid eligibility?,"Students must report changes in their income or family situation to the Financial Aid Office in writing, using the provided Change of Circumstance form. Supporting documentation, such as tax returns or proof of income, must be submitted to support the change in circumstances."
faq_020,Financial Aid,Can I use financial aid to cover fees for online courses?,"Yes, students can use their financial aid package to cover fees for online courses, including tuition, fees, and books. Students should check with their Financial Aid Counselor to confirm the availability of aid for online courses and to ensure that their package is sufficient to cover expenses."
faq_021,Housing,What is the deadline for submitting housing applications for the upcoming academic year?,"According to university policy, students must submit their housing applications by May 1st of the preceding academic year. Late applications may incur a $50 late fee and are subject to availability of space."
faq_022,Housing,How do I request a room change or transfer to a different residence hall?,Students can submit a room change request through their housing portal. Requests will be reviewed on a case-by-case basis and are subject to availability of space. Please note that room changes may result in a change to your meal plan or other university services.
faq_023,Housing,What is the process for checking into my residence hall?,"Upon arrival, students should report to the residence hall's front desk to check in and receive their room keys. Students must present a valid university ID and a copy of their housing assignment letter. Check-in hours are typically between 9:00 AM and 5:00 PM, but may vary depending on the residence hall."
faq_024,Housing,Can I have a pet in my residence hall room?,University policy allows approved service animals and emotional support animals in residence hall rooms. Students must provide documentation from a licensed healthcare professional and register their animal through the university's disability services office.
faq_025,Housing,How do I report a maintenance or repair issue in my residence hall room?,"Students can report maintenance or repair issues through the university's online maintenance request system or by contacting the residence hall's front desk. Reports will be addressed as soon as possible, but may take up to 24-48 hours to complete."
faq_026,Housing,What are the university's policies on overnight guests in residence hall rooms?,University policy allows overnight guests in residence hall rooms for a maximum of three consecutive nights. Guests must be registered with the residence hall's front desk and must provide a valid university ID or proof of enrollment. Excessive or unauthorized overnight guests may result in disciplinary action.
faq_027,Housing,How do I request a housing accommodation for a disability or medical condition?,Students with disabilities or medical conditions may request a housing accommodation through the university's disability services office. Accommodations will be reviewed on a case-by-case basis and must be supported by documentation from a licensed healthcare professional.
faq_028,Housing,Can I sublease my residence hall room for the summer or academic year?,University policy prohibits subleasing residence hall rooms. Students who wish to vacate their room for the summer or academic year must follow the university's housing withdrawal procedures and are subject to the terms of their housing contract.
faq_029,Housing,"How do I access the residence hall's amenities and services, such as the gym or laundry facilities?","Students can access the residence hall's amenities and services by presenting their university ID at the designated facilities. Some amenities may require a separate fee or registration, so students should check with the residence hall's front desk for more information."
faq_030,Housing,What are the university's policies on smoking and tobacco use in residence hall rooms?,"University policy prohibits smoking and tobacco use in all university buildings, including residence halls. Students who violate this policy may face disciplinary action and may be required to pay for damages or cleaning costs associated with smoking or tobacco use."
faq_031,Registration,What is the deadline for adding/dropping a course?,"According to university policy, students must submit their course add/drop requests by the end of the second week of the semester to avoid late fees. After the deadline, students will need to contact their academic advisor for approval."
faq_032,Registration,How do I verify my student email address?,"To verify your student email address, log in to the university's portal with your username and password, then click on the 'Student Email' tab. If your email address is listed as 'unverified', click on the 'Verify' button and follow the instructions to complete the verification process."
faq_033,Registration,What documents do I need to submit for course registration?,"To register for courses, students must submit a valid photo ID, proof of immunization, and any other required documentation as specified by their academic program. Students are responsible for reviewing the course catalog and program requirements to ensure they meet all necessary prerequisites and documentation."
faq_034,Registration,Can I register for a course if I have outstanding financial obligations?,"No, students with outstanding financial obligations will not be allowed to register for courses. Students must settle their financial accounts in full before registering for courses. Contact the Bursar's Office for assistance with financial obligations."
faq_035,Registration,How do I check my course registration status?,"To check your course registration status, log in to the university's portal with your username and password, then click on the 'Student Registration' tab. Your course registration status will be displayed on this page. If you have questions or concerns, contact the Registrar's Office for assistance."
faq_036,Registration,Can I register for a course that is already full?,"No, courses that are already full will not be available for registration. Students may add their name to the waitlist for the course, but admission is not guaranteed. Contact the department offering the course for more information on waitlisting policies."
faq_037,Registration,What is the process for registering for a course as a non-matriculated student?,"Non-matriculated students must complete an application for admission and provide transcripts from their previous academic institution. Once the application is approved, non-matriculated students can register for courses through the university's portal. Contact the Admissions Office for more information on the application process."
faq_038,Registration,Can I register for courses online?,"Yes, students can register for courses online through the university's portal. Log in with your username and password, then click on the 'Student Registration' tab to access the online registration system. Follow the instructions to select your courses and complete the registration process."
faq_039,Registration,What is the policy for auditing courses?,Auditing courses is permitted on a space-available basis only. Students must complete an audit request form and provide written approval from their academic advisor. Contact the Registrar's Office for more information on auditing policies and procedures.
