query_text,intent_label
parking permit for spring break,parking_permit
help i got a tuition payment due notice but i already paid,tuition_payment
dorm building closing time tonight?,dorm_maintenance
I'm trying to schedule an appointment with my advisor but I keep getting a busy signal,academic_advising
"i'm having trouble with the parking permit website, help!",parking_permit
dorm sink is leking plz help ASAP,dorm_maintenance
"need help w/ academic planning, pls",academic_advising
when does the library open after thanksgiving break?,library_hours
i need to know the dorm maintenance schedule cuz i wanna plan ahead,dorm_maintenance
i've got a tuition payment plan in place but can someone double-check it for me?,tuition_payment
I'm trying to schedule an appointment with my advisor but I keep getting a busy signal,academic_advising
library hours during finals,library_hours
i'm trying to get a loan for tuition but i need help with the application process,tuition_payment
how 2 get library hours??,library_hours
can I get a refund for my meal plan due to moving off-campus?,dorm_maintenance
Can you tell me the office hours for the math department?,academic_advising
dorm building rules and regulations regarding cleanliness,dorm_maintenance
can I get a parking permit for my car?,dorm_maintenance
I need help with my course load for next semester,academic_advising
help i cant find where to pay my tuition online,tuition_payment
i'm trying to set up a payment plan for my tuition but the system keeps crashing,tuition_payment
can I get a replacement for my lost room key?,dorm_maintenance
I'm having trouble with my financial aid package can you help?,academic_advising
can i use a prepaid card to pay my tuition,tuition_payment
fr need help with classes cuz my dorm room is too noisy,dorm_maintenance
when does the library close for spring break?,library_hours
tuition deadline is in a week and i still haven't gotten my bill can someone help me?,tuition_payment
can someone remind me how to pay my tuition with a wire transfer?,tuition_payment
parking permit for parking lot x,parking_permit
how much is tuition for spring semester 2023,tuition_payment
how do i know when my tuition payment is due for next semester?,tuition_payment
what's the deal with the air conditioning in 202 hall?,dorm_maintenance
I need help with my course selection for next semester,academic_advising
can i get library hours for this week?,library_hours
"I need help w/ my schedule, can you review it?",academic_advising
help i cant find the librarys hours anywhere,library_hours
URGENT: my financial aid is all messed up what do I do?,academic_advising
"my dorm's vending machine is broken, what do I do?",dorm_maintenance
how do i get the tuition payment discount for being a transfer student?,tuition_payment
fr library hours r not on website,library_hours
Can you tell me the office hours for the psychology department?,academic_advising
who do I contact for internship opportunities?,academic_advising
how do i add a parking permit to my car?,parking_permit
can someone pls help me with the tuition payment because i'm running out of time,tuition_payment
"dude, what time does the library close tomorrow night?",library_hours
Can you tell me the requirements for the scholarship I'm applying for?,academic_advising
my tuition payment didn't go through can i get help with the issue?,tuition_payment
"my shower's clogged, who do I call?",dorm_maintenance
"I need to change my major, can you tell me what I need to do?",academic_advising
help! i'm trying to pay my tuition with my credit card but it keeps getting declined,tuition_payment
"my vehicle registration is expiring soon, can i get a new permit?",parking_permit
i'm trying to set up a payment plan for my tuition but it keeps crashing,tuition_payment
Can you tell me the process for getting a parking pass?,academic_advising
I need help with my course load for next semester,academic_advising
tuition payment deadline is tomorrow what are the consequences of missing it,tuition_payment
i need to report a maintenance issue in my dorm room,dorm_maintenance
hey chatbot what time is the library open till?,library_hours
"I need help w/ my schedule, can you review it?",academic_advising
help! my registration hold is still active and i cant get my permit,parking_permit
tuition payment deadline is tomorrow how do i expedite,tuition_payment
who do I contact for internship opportunities?,academic_advising
i tried to pay my tuition online but it says i owe more money,tuition_payment
where can i get a parking permit without going to the office?,parking_permit
library closing time today?,library_hours
im trying to find a study group but cant find library hours,library_hours
tuition payment address is wrong on my account how do i change it,tuition_payment
need help w/ math placement exam,academic_advising
library closing time for tuesday?,library_hours
i'm trying to get a payment plan in place can someone walk me through the process?,tuition_payment
URGENT: registration hold still active classes start tomorrow!!,dorm_maintenance
"URGENT: I need to add a class, but it's full, can you help me?",academic_advising
"I'm a transfer student, what's the best way to schedule an advising appointment?",academic_advising
i'm trying to get a payment plan for my tuition but it keeps asking for my student ID,tuition_payment
parking permit deadline,parking_permit
help w/ course selection for next semester!,academic_advising
how do i set up a tuition payment plan,tuition_payment
"dorm maintenance team, my room is freezing in winter",dorm_maintenance
dorm parking permit info cuz i dont have one,dorm_maintenance
I'm trying to figure out which classes I need to take to graduate,academic_advising
how do i pay my tuition with my student loan,tuition_payment
fr can u send me the number for facilities cuz my toilet broke?,dorm_maintenance
I'm trying to figure out which classes I need to take to graduate,academic_advising
I need to schedule an advising appointment ASAP,academic_advising
library hours on weekends,library_hours
can I get a room upgrade due to academic achievements?,dorm_maintenance
library open on sunday?,library_hours
what are the tuition payment deadlines for spring semester,tuition_payment
what time does the library open on monday?,library_hours
i need help with tuition payment for graduate students,tuition_payment
parking permit rules and reg,parking_permit
dorm sink is leking plz help,academic_advising
parking permit for my electric scooter?,parking_permit
I'm trying to register for classes but I'm getting an error message,academic_advising
can someone pls help me with my tuition payment because the site is being uncooperative,tuition_payment
where can i park my car without a permit?,parking_permit
how late is the library open tonight?,library_hours
can i use financial aid to pay for tuition,tuition_payment
how 2 get parkin pass?? is it related to tuition?,tuition_payment
tuition payment is due in 2 days and i still haven't received my bill,tuition_payment
dorm parking permit info please,dorm_maintenance
is the dorm's gym open 24/7?,dorm_maintenance
i have a scholarship that covers tuition how do i apply it,tuition_payment
tuition deadline is in a week and i still haven't gotten my bill can someone assist me?,tuition_payment
"I want to take a class in the humanities dept, but it's closed, what can I do?",academic_advising
parking permit for students with vehicles,parking_permit
"fr, how do I get a study abroad scholarship?",academic_advising
library hours for summer intensive,library_hours
yo where can i get a parking permit for next semester?,parking_permit
where's the best place to study in the dorm?,dorm_maintenance
parking permit for faculty,parking_permit
parking permit for international students,parking_permit
"I have a maintenance issue in my room, what's the process?",dorm_maintenance
is there a late-night shuttle from the dorm to the library?,dorm_maintenance
parking permit application,parking_permit
library hours for juniors,library_hours
i tried to pay my tuition online but it says my card is declined,tuition_payment
can i pay my tuition in person at the bursar's office,tuition_payment
"parking permit for employees, do we need one?",parking_permit
parking permit for on-campus parking,parking_permit
"need help w/ transfer credit evaluation, pls",academic_advising
library hours for transfer students,library_hours
"good morning, could you please provide guidance on scheduling an advising appointment to discuss tuition payment",tuition_payment
Can you tell me the requirements for the honors program?,academic_advising
help! my parents are paying my tuition but they need help with the paperwork,tuition_payment
"Hello, I'm having trouble with my schedule, can you help me drop a class?",academic_advising
